abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
gthrd	Reduced glutathione	C10H16N3O6S	-1	Cytosol, Extra-organism, Periplasm	C00051	70-18-8	33669	
udpgal	UDPgalactose	C15H22N2O17P2	-2	Cytosol, Extra-organism, Periplasm	C00052		33675	
paps	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4	Cytosol	C00053	482-67-7	33679	
pap	Adenosine 3',5'-bisphosphate	C10H11N5O10P2	-4	Cytosol	C00054	1053-73-2	33684	
cmp	CMP	C9H12N3O8P	-2	Cytosol, Extra-organism, Periplasm	C00055		33689	
for	Formate	CH1O2	-1	Cytosol, Extra-organism, Periplasm	C00058	64-18-6	33693	
so4	Sulfate	O4S	-2	Cytosol, Extra-organism, Periplasm	C00059	7664-93-9	33697	
fmn	FMN	C17H19N4O9P	-2	Cytosol	C00061	146-17-8	33703	
arg-L	L-Arginine	C6H15N4O2	1	Cytosol, Extra-organism, Periplasm	C00062	74-79-3	33707	
ctp	CTP	C9H12N3O14P3	-4	Cytosol	C00063	65-47-4	33710	
gln-L	L-Glutamine	C5H10N2O3	0	Cytosol, Extra-organism, Periplasm	C00064	56-85-9	33714	
ser-L	L-Serine	C3H7NO3	0	Cytosol, Extra-organism, Periplasm	C00065	56-45-1	33717	
fald	Formaldehyde	CH2O	0	Cytosol, Extra-organism, Periplasm	C00067	50-00-0	33726	
thmpp	Thiamine diphosphate	C12H16N4O7P2S	-2	Cytosol	C00068	154-87-0	33732	
ascb-L	L-Ascorbate	C6H8O6	0	Extra-organism, Periplasm	C00072	50-81-7	33747	
met-L	L-Methionine	C5H11NO2S	0	Cytosol, Extra-organism, Periplasm	C00073	63-68-3	33753	
pep	Phosphoenolpyruvate	C3H2O6P	-3	Cytosol	C00074	138-08-9	33756	
utp	UTP	C9H11N2O15P3	-4	Cytosol	C00075	63-39-8	33760	
ca2	Calcium	Ca	2	Cytosol, Extra-organism, Periplasm	C00076	7440-70-2	33764	
trp-L	L-Tryptophan	C11H12N2O2	0	Cytosol, Extra-organism, Periplasm	C00078	73-22-3	33772	
phe-L	L-Phenylalanine	C9H11NO2	0	Cytosol, Extra-organism, Periplasm	C00079	63-91-2	33775	
h	H+	H	1	Cytosol, Extra-organism, Periplasm	C00080	12408-02-5	33778	
itp	ITP	C10H11N4O14P3	-4	Cytosol	C00081	132-06-9	33780	
tyr-L	L-Tyrosine	C9H11NO3	0	Cytosol, Extra-organism, Periplasm	C00082	60-18-4	33785	
malcoa	Malonyl-CoA	C24H33N7O19P3S	-5	Cytosol	C00083	524-14-1	33789	
acald	Acetaldehyde	C2H4O	0	Cytosol, Extra-organism, Periplasm	C00084	75-07-0	33792	
f6p	D-Fructose 6-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00085	643-13-0	33795	
urea	Urea	CH4N2O	0	Cytosol, Extra-organism, Periplasm	C00086	57-13-6	33799	
s	Sulfur	S	0	Cytosol	C00087	7704-34-9	33802	
no2	Nitrite	NO2	-1	Cytosol, Extra-organism, Periplasm	C00088	7697-37-2	33805	
sucr	Sucrose	C12H22O11	0	Extra-organism, Periplasm	C00089	57-50-1	33807	
succoa	Succinyl-CoA	C25H35N7O19P3S	-5	Cytosol	C00091	604-98-8	33820	
so3	Sulfite	O3S	-2	Cytosol, Extra-organism, Periplasm	C00094	7782-99-2	33833	
fru	D-Fructose	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00095	57-48-7	33835	
cys-L	L-Cysteine	C3H7NO2S	0	Cytosol, Extra-organism, Periplasm	C00097	52-90-4	33843	
ala-B	beta-Alanine	C3H7NO2	0	Cytosol, Extra-organism, Periplasm	C00099	107-95-9	33848	
ppcoa	Propanoyl-CoA	C24H36N7O17P3S	-4	Cytosol	C00100	317-66-8	33852	
thf	5,6,7,8-Tetrahydrofolate	C19H21N7O6	-2	Cytosol	C00101	135-16-0	33856	
g1p	D-Glucose 1-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00103	59-56-3	33865	
idp	IDP	C10H11N4O11P2	-3	Cytosol	C00104	86-04-4	33869	
ump	UMP	C9H11N2O9P	-2	Cytosol, Extra-organism, Periplasm	C00105	58-97-9	33873	
ura	Uracil	C4H4N2O2	0	Cytosol, Extra-organism, Periplasm	C00106	66-22-8	33879	
anth	Anthranilate	C7H6NO2	-1	Cytosol	C00108	118-92-3	33883	
2obut	2-Oxobutanoate	C4H5O3	-1	Cytosol	C00109	600-18-0	33889	
dhap	Dihydroxyacetone phosphate	C3H5O6P	-2	Cytosol	C00111	57-04-5	33898	
cdp	CDP	C9H12N3O11P2	-3	Cytosol	C00112	63-38-7	33901	
chol	Choline	C5H14NO	1	Cytosol, Extra-organism, Periplasm	C00114	123-41-1	33910	
glyc	Glycerol	C3H8O3	0	Cytosol, Extra-organism, Periplasm	C00116	56-81-5	33915	
prpp	5-Phospho-alpha-D-ribose 1-diphosphate	C5H8O14P3	-5	Cytosol	C00119		33926	
btn	Biotin	C10H15N2O3S	-1	Cytosol	C00120	58-85-5	33931	
rib-D	D-Ribose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00121	50-69-1	33936	
fum	Fumarate	C4H2O4	-2	Cytosol, Extra-organism, Periplasm	C00122	110-17-8	33938	
leu-L	L-Leucine	C6H13NO2	0	Cytosol, Extra-organism, Periplasm	C00123	61-90-5	33942	
gal	D-Galactose	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00124	59-23-4	33945	
gthox	Oxidized glutathione	C20H30N6O12S2	-2	Cytosol, Extra-organism, Periplasm	C00127		33951	
ipdp	Isopentenyl diphosphate	C5H9O7P2	-3	Cytosol	C00129		33956	
imp	IMP	C10H11N4O8P	-2	Cytosol, Extra-organism, Periplasm	C00130	131-99-7	33960	
datp	dATP	C10H12N5O12P3	-4	Cytosol	C00131	1927-31-7	33969	
ala-D	D-Alanine	C3H7NO2	0	Cytosol, Extra-organism, Periplasm	C00133	338-69-2	33977	
ptrc	Putrescine	C4H14N2	2	Cytosol, Extra-organism, Periplasm	C00134	110-60-1	33980	
his-L	L-Histidine	C6H9N3O2	0	Cytosol, Extra-organism, Periplasm	C00135	71-00-1	33985	
btcoa	Butanoyl-CoA	C25H38N7O17P3S	-4	Cytosol	C00136		33988	
inost	myo-Inositol	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00137	87-89-8	33990	
acgam	N-Acetyl-D-glucosamine	C8H15NO6	0	Cytosol, Extra-organism, Periplasm	C00140	7512-17-6	34006	
3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	Cytosol	C00141		34011	
mlthf	5,10-Methylenetetrahydrofolate	C20H21N7O6	-2	Cytosol	C00143		34022	
gmp	GMP	C10H12N5O8P	-2	Cytosol, Extra-organism, Periplasm	C00144	85-32-5	34024	
ade	Adenine	C5H5N5	0	Cytosol, Extra-organism, Periplasm	C00147	73-24-5	34039	
pro-L	L-Proline	C5H9NO2	0	Cytosol, Extra-organism, Periplasm	C00148	147-85-3	34042	
mal-L	L-Malate	C4H4O5	-2	Cytosol, Extra-organism, Periplasm	C00149	97-67-6	34045	
asn-L	L-Asparagine	C4H8N2O3	0	Cytosol, Extra-organism, Periplasm	C00152	70-47-3	34055	
ncam	Nicotinamide	C6H6N2O	0	Cytosol	C00153	98-92-0	34058	
pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	-4	Cytosol	C00154		34063	
4hbz	4-Hydroxybenzoate	C7H5O3	-1	Cytosol	C00156	99-96-7	34069	
cit	Citrate	C6H5O7	-3	Cytosol, Extra-organism, Periplasm	C00158	77-92-9	34080	
man	D-Mannose	C6H12O6	0	Cytosol, Extra-organism, Periplasm	C00159	3458-28-4	34085	
glyclt	Glycolate	C2H3O3	-1	Cytosol, Extra-organism, Periplasm	C00160	79-14-1	34090	
ppa	Propionate (n-C3:0)	C3H5O2	-1	Cytosol, Extra-organism, Periplasm	C00163	79-09-4	34098	
phpyr	Phenylpyruvate	C9H7O3	-1	Cytosol	C00166	156-06-9	34111	
udpglcur	UDP-D-glucuronate	C15H19N2O18P2	-3	Cytosol, Extra-organism, Periplasm	C00167		34117	
hpyr	Hydroxypyruvate	C3H3O4	-1	Cytosol	C00168	1113-60-6	34120	
cbp	Carbamoyl phosphate	CH2NO5P	-2	Cytosol	C00169		34125	
5mta	5-Methylthioadenosine	C11H15N5O3S	0	Cytosol	C00170	2457-80-9	34127	
cobalt2	Co2+	Co	2	Cytosol, Extra-organism, Periplasm	C00175	7440-48-4	34141	
cyan	Hydrogen cyanide	CHN	0	Cytosol, Extra-organism, Periplasm	C01326	57-12-5	34146	
thym	Thymine	C5H6N2O2	0	Cytosol, Extra-organism, Periplasm	C00178	65-71-4	34151	
agm	Agmatine	C5H16N4	2	Cytosol, Extra-organism, Periplasm	C00179	306-60-5	34153	
xyl-D	D-Xylose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00181	58-86-6	34162	
val-L	L-Valine	C5H11NO2	0	Cytosol, Extra-organism, Periplasm	C00183	72-18-4	34167	
dha	Dihydroxyacetone	C3H6O3	0	Cytosol, Extra-organism, Periplasm	C00184	96-26-4	34170	
lac-L	L-Lactate	C3H5O3	-1	Cytosol, Extra-organism, Periplasm	C00186	79-33-4	34179	
thr-L	L-Threonine	C4H9NO3	0	Cytosol, Extra-organism, Periplasm	C00188	72-19-5	34186	
etha	Ethanolamine	C2H8NO	1	Cytosol, Extra-organism, Periplasm	C00189	141-43-5	34189	
glcur	D-Glucuronate	C6H9O7	-1	Cytosol, Extra-organism, Periplasm	C00191	6556-12-3	34196	
adocbl	Adenosylcobalamin	C72H100CoN18O17P	0	Cytosol, Extra-organism, Periplasm	C00194	13870-90-1	34204	
23dhb	2,3-Dihydroxybenzoate	C7H5O4	-1	Cytosol	C00196	303-38-8	34227	
3pg	3-Phospho-D-glycerate	C3H4O7P	-3	Cytosol	C00197		34230	
ru5p-D	D-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol	C00199	4151-19-3	34237	
udpacgal	UDP-N-acetyl-D-galactosamine	C17H25N3O17P2	-2	Extra-organism, Periplasm	C00203	None	34247	
2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	Cytosol, Extra-organism, Periplasm	C00204	None	34249	
dadp	dADP	C10H12N5O9P2	-3	Cytosol	C00206	None	34254	
malt	Maltose	C12H22O11	0	Cytosol, Extra-organism, Periplasm	C00208	69-79-4	34261	
adn	Adenosine	C10H13N5O4	0	Cytosol, Extra-organism, Periplasm	C00212	58-61-7	34273	
sarcs	Sarcosine	C3H7NO2	0	Cytosol	C00213	107-97-1	34275	
glu-D	D-Glutamate	C5H8NO4	-1	Cytosol	C00217	6893-26-1	34285	
aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2	Cytosol	C00224		34307	
actp	Acetyl phosphate	C2H3O5P	-2	Cytosol	C00227	19926-71-7	34318	
xu5p-D	D-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C00231	None	34329	
sucsal	Succinic semialdehyde	C4H5O3	-1	Cytosol	C00232	692-29-5	34331	
4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol	C00233		34334	
10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2	Cytosol	C00234		34337	
13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	Cytosol	C00236	None	34342	
k	potassium	K	1	Cytosol, Extra-organism, Periplasm	C00238		34349	
dcmp	dCMP	C9H12N3O7P	-2	Cytosol, Extra-organism, Periplasm	C00239	1032-65-1	34352	
gua	Guanine	C5H5N5O	0	Cytosol, Extra-organism, Periplasm	C00242	73-40-5	34363	
lcts	Lactose	C12H22O11	0	Cytosol, Extra-organism, Periplasm	C00243	63-42-3	34366	
taur	Taurine	C2H7NO3S	0	Cytosol, Extra-organism, Periplasm	C00245	107-35-7	34373	
but	Butyrate (n-C4:0)	C4H7O2	-1	Cytosol, Extra-organism, Periplasm	C00246	107-92-6	34376	
hdca	Hexadecanoate (n-C16:0)	C16H31O2	-1	Cytosol, Extra-organism, Periplasm	C00249	57-10-3	34386	
pydx	Pyridoxal	C8H9NO3	0	Cytosol	C00250	66-72-8	34393	
chor	chorismate	C10H8O6	-2	Cytosol	C00251	55508-12-8	34395	
nac	Nicotinate	C6H4NO2	-1	Cytosol, Extra-organism, Periplasm	C00253	59-67-6	34401	
pphn	Prephenate	C10H8O6	-2	Cytosol	C00254	126-49-8	34406	
ribflv	Riboflavin	C17H20N4O6	0	Cytosol	C00255	83-88-5	34409	
lac-D	D-Lactate	C3H5O3	-1	Cytosol, Extra-organism, Periplasm	C00256	10326-41-7	34414	
glcn	D-Gluconate	C6H11O7	-1	Cytosol, Extra-organism, Periplasm	C00257	526-95-4	34420	
glyc-R	(R)-Glycerate	C3H5O4	-1	Cytosol, Extra-organism, Periplasm	C00258	473-81-4	34424	
arab-L	L-Arabinose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00259	147-81-9	34429	
hxan	Hypoxanthine	C5H4N4O	0	Cytosol, Extra-organism, Periplasm	C00262	68-94-0	34434	
hom-L	L-Homoserine	C4H9NO3	0	Cytosol, Extra-organism, Periplasm	C00263	672-15-1	34437	
gcald	Glycolaldehyde	C2H4O2	0	Cytosol	C00266		34446	
acnam	N-Acetylneuraminate	C11H18NO9	-1	Cytosol, Extra-organism, Periplasm	C00270	131-48-6	34458	
man6p	D-Mannose 6-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00275	None	34471	
e4p	D-Erythrose 4-phosphate	C4H7O7P	-2	Cytosol	C00279	585-18-2	34479	
s7p	Sedoheptulose 7-phosphate	C7H13O10P	-2	Cytosol	C00281	None	34485	
h2	H2	H2	0	Cytosol, Extra-organism, Periplasm	C00282	1333-74-0	34488	
h2s	Hydrogen sulfide	H2S	0	Cytosol, Extra-organism, Periplasm	C00283	7783-06-4	34491	
dgtp	dGTP	C10H12N5O13P3	-4	Cytosol	C00286	2564-35-4	34502	
hco3	Bicarbonate	CHO3	-1	Cytosol	C00288	71-52-3	34509	
ni2	nickel	Ni	2	Cytosol, Extra-organism, Periplasm	C00291		34516	
ins	Inosine	C10H12N4O5	0	Cytosol, Extra-organism, Periplasm	C00294	58-63-9	34525	
orot	Orotate	C5H3N2O4	-1	Cytosol, Extra-organism, Periplasm	C00295	65-86-1	34527	
uri	Uridine	C9H12N2O6	0	Cytosol, Extra-organism, Periplasm	C00299	58-96-8	34541	
adprib	ADPribose	C15H21N5O14P2	-2	Cytosol	C00301		34547	
xylu-D	D-Xylulose	C5H10O5	0	Cytosol	C00310	551-84-8	34575	
icit	Isocitrate	C6H5O7	-3	Cytosol	C00311	30810-51-6	34579	
xylu-L	L-Xylulose	C5H10O5	0	Cytosol, Extra-organism, Periplasm	C00312	527-50-4	34584	
pydxn	Pyridoxine	C8H11NO3	0	Cytosol	C00314	65-23-6	34590	
spmd	Spermidine	C7H22N3	3	Cytosol, Extra-organism, Periplasm	C00315	124-20-9	34593	
crn	L-Carnitine	C7H15NO3	0	Cytosol, Extra-organism, Periplasm	C00318	541-15-1	34600	
tsul	Thiosulfate	O3S2	-2	Cytosol, Extra-organism, Periplasm	C00320		34610	
gdpfuc	GDP-L-fucose	C16H23N5O15P2	-2	Cytosol	C00325		34623	
citr-L	L-Citrulline	C6H13N3O3	0	Cytosol	C00327	372-75-8	34627	
gam	D-Glucosamine	C6H14NO5	1	Extra-organism, Periplasm	C00329	3416-24-8	34633	
dgsn	Deoxyguanosine	C10H13N5O4	0	Cytosol, Extra-organism, Periplasm	C00330	961-07-9	34637	
aacoa	Acetoacetyl-CoA	C25H36N7O18P3S	-4	Cytosol	C00332	1420-36-6	34646	
galur	D-Galacturonate	C6H9O7	-1	Cytosol, Extra-organism, Periplasm	C00333	685-73-4	34649	
4abut	4-Aminobutanoate	C4H9NO2	0	Cytosol, Extra-organism, Periplasm	C00334	56-12-2	34652	
dhor-S	(S)-Dihydroorotate	C5H5N2O4	-1	Cytosol	C00337	5988-19-2	34662	
grdp	Geranyl diphosphate	C10H17O7P2	-3	Cytosol	C00341		34675	
trdrd	Reduced thioredoxin	XH2	0	Cytosol	C00342		34677	
trdox	Oxidized thioredoxin	X	0	Cytosol	C00343		34679	
6pgc	6-Phospho-D-gluconate	C6H10O10P	-3	Cytosol	C00345		34686	
udcpp	Undecaprenyl phosphate	C55H89O4P	-2	Cytosol, Periplasm	C00348		34696	
gam6p	D-Glucosamine 6-phosphate	C6H13NO8P	-1	Cytosol, Extra-organism, Periplasm	C00352	3616-42-0	34709	
fdp	D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	Cytosol	C00354	488-69-7	34717	
acgam6p	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2	Cytosol	C00357	102029-88-9	34733	
damp	dAMP	C10H12N5O6P	-2	Cytosol, Extra-organism, Periplasm	C00360	653-63-4	34735	
dgdp	dGDP	C10H12N5O10P2	-3	Cytosol	C00361		34741	
dgmp	dGMP	C10H12N5O7P	-2	Cytosol, Extra-organism, Periplasm	C00362	902-04-5	34744	
dtdp	dTDP	C10H13N2O11P2	-3	Cytosol	C00363		34750	
dtmp	dTMP	C10H13N2O8P	-2	Cytosol, Extra-organism, Periplasm	C00364	365-07-1	34753	
dump	dUMP	C9H11N2O8P	-2	Cytosol, Extra-organism, Periplasm	C00365	964-26-1	34762	
urate	Urate	C5H4N4O3	0	Cytosol	C00366	69-93-2	34768	
thm	Thiamin	C12H17N4OS	1	Cytosol, Extra-organism, Periplasm	C00378	67-03-8	34804	
csn	Cytosine	C4H5N3O	0	Cytosol, Extra-organism, Periplasm	C00380	71-30-7	34812	
xan	Xanthine	C5H4N4O2	0	Cytosol, Extra-organism, Periplasm	C00385	69-89-6	34825	
mnl	D-Mannitol	C6H14O6	0	Extra-organism, Periplasm	C00392	69-65-8	34845	
ile-L	L-Isoleucine	C6H13NO2	0	Cytosol, Extra-organism, Periplasm	C00407	73-32-5	34887	
dhf	7,8-Dihydrofolate	C19H19N7O6	-2	Cytosol	C00415	4033-27-6	34911	
acon-C	cis-Aconitate	C6H3O6	-3	Cytosol	C00417	585-84-2	34920	
cinnm	trans-Cinnamate	C9H7O2	-1	Cytosol	C00423	140-10-3	34938	
lald-L	L-Lactaldehyde	C3H6O2	0	Cytosol	C00424	598-35-6	34941	
5aop	5-Amino-4-oxopentanoate	C5H9NO3	0	Cytosol	C00430	106-60-5	34963	
acorn	N2-Acetyl-L-ornithine	C7H14N2O3	0	Cytosol	C00437	None	34982	
cbasp	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	Cytosol	C00438		34984	
5mthf	5-Methyltetrahydrofolate	C20H24N7O6	-1	Cytosol	C00440		34988	
aspsa	L-Aspartate 4-semialdehyde	C4H7NO3	0	Cytosol	C00441	None	34990	
r1p	alpha-D-Ribose 1-phosphate	C5H9O8P	-2	Cytosol	C00442	58459-37-3	34994	
methf	5,10-Methenyltetrahydrofolate	C20H20N7O6	-1	Cytosol	C00445		34999	
gal1p	alpha-D-Galactose 1-phosphate	C6H11O9P	-2	Cytosol, Extra-organism, Periplasm	C00446	2255-14-3	35001	
frdp	Farnesyl diphosphate	C15H25O7P2	-3	Cytosol	C00448	13058-04-3	35006	
nmn	NMN	C11H14N2O8P	-1	Cytosol, Extra-organism, Periplasm	C00455	1094-61-7	35022	
dctp	dCTP	C9H12N3O13P3	-4	Cytosol	C00458	2056-98-6	35027	
dttp	dTTP	C10H13N2O14P3	-4	Cytosol	C00459		35032	
dutp	dUTP	C9H11N2O14P3	-4	Cytosol	C00460		35037	
indole	Indole	C8H7N	0	Cytosol, Extra-organism, Periplasm	C00463	120-72-9	35045	
etoh	Ethanol	C2H6O	0	Cytosol, Extra-organism, Periplasm	C00469	64-17-5	35062	
cytd	Cytidine	C9H13N3O5	0	Cytosol, Extra-organism, Periplasm	C00475	65-46-3	35089	
ppal	Propanal	C3H6O	0	Cytosol, Extra-organism, Periplasm	C00479	123-38-6	35098	
tym	Tyramine	C8H12NO	1	Extra-organism, Periplasm	C00483	51-67-2	35110	
skm	Shikimate	C7H9O5	-1	Cytosol, Extra-organism, Periplasm	C00493	138-59-0	35144	
mal-D	D-Malate	C4H4O5	-2	Cytosol, Extra-organism, Periplasm	C00497	636-61-3	35157	
adpglc	ADPglucose	C16H23N5O15P2	-2	Cytosol	C00498		35161	
alltt	Allantoate	C4H7N4O4	-1	Cytosol	C00499	99-16-1	35164	
rmn	L-Rhamnose	C6H12O5	0	Cytosol, Extra-organism, Periplasm	C00507	3615-41-6	35191	
rbl-L	L-Ribulose	C5H10O5	0	Cytosol	C00508		35195	
mana	D-Mannonate	C6H11O7	-1	Cytosol	C00514		35217	
pant-R	(R)-Pantoate	C6H11O4	-1	Cytosol	C00522	470-29-1	35240	
duri	Deoxyuridine	C9H12N2O5	0	Cytosol, Extra-organism, Periplasm	C00526	951-78-0	35251	
hqn	Hydroquinone	C6H6O2	0	Cytosol	C00530	123-31-9	35259	
no	Nitric oxide	NO	0	Cytosol, Extra-organism, Periplasm	C00533	10102-43-9	35273	
pydam	Pyridoxamine	C8H13N2O2	1	Cytosol	C00534	85-87-0	35277	
mthgxl	Methylglyoxal	C3H4O2	0	Cytosol	C00546	78-98-8	35307	
4abutn	4-Aminobutanal	C4H10NO	1	Cytosol	C00555		35337	
tagur	D-Tagaturonate	C6H9O7	-1	Cytosol	C00558	None	35350	
dad-2	Deoxyadenosine	C10H13N5O3	0	Cytosol, Extra-organism, Periplasm	C00559	958-09-8	35352	
tma	trimethylamine	C3H10N	1	Cytosol, Extra-organism, Periplasm	C00565	75-50-3	35366	
4abz	4-Aminobenzoate	C7H6NO2	-1	Cytosol	C00568	150-13-0	35376	
betald	Betaine aldehyde	C5H12NO	1	Cytosol	C00576		35400	
glyald	D-Glyceraldehyde	C3H6O3	0	Cytosol, Extra-organism, Periplasm	C00577	453-17-8	35402	
dms	Dimethyl sulfide	C2H6S	0	Cytosol, Extra-organism, Periplasm	C00580	75-18-3	35409	
phaccoa	Phenylacetyl-CoA	C29H38N7O17P3S	-4	Cytosol	C00582		35419	
op4en	2-Oxopent-4-enoate	C5H5O3	-1	Cytosol	C00596		35454	
pacald	Phenylacetaldehyde	C8H8O	0	Cytosol, Extra-organism, Periplasm	C00601	122-78-1	35469	
3sala	3-Sulfino-L-alanine	C3H5NO4S	-2	Cytosol	C00606	1115-65-7	35482	
N1aspmd	N1-Acetylspermidine	C9H23N3O	2	Cytosol	C00612	34450-16-3	35495	
3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	Cytosol	C00618		35509	
acglu	N-Acetyl-L-glutamate	C7H9NO5	-2	Cytosol	C00624	1188-37-0	35520	
pdx5p	Pyridoxine 5'-phosphate	C8H10NO6P	-2	Cytosol	C00627	447-05-2	35527	
2dhglcn	2-Dehydro-D-gluconate	C6H9O7	-1	Cytosol	C00629		35536	
2pg	D-Glycerate 2-phosphate	C3H4O7P	-3	Cytosol	C00631		35542	
mnl1p	D-Mannitol 1-phosphate	C6H13O9P	-2	Cytosol	C00644		35604	
acmana	N-Acetyl-D-mannosamine	C8H15NO6	0	Cytosol, Extra-organism, Periplasm	C00645	3615-17-6	35606	
pyam5p	Pyridoxamine 5'-phosphate	C8H12N2O5P	-1	Cytosol	C00647	529-96-4	35609	
xmp	Xanthosine 5'-phosphate	C10H11N4O9P	-2	Cytosol, Extra-organism, Periplasm	C00655	523-98-8	35623	
